Gene	W_T	pi	FL_T	T_D	FL_D
ackA	6.42857142857	14.1503482133	45.0	-2.38439680618	-4.35443444304
aldHT	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
alsT_1	7.14285714286	15.7226091259	50.0	-2.3932793558	-4.39302909679
amyE	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
aprE	0.362637362637	0.314452182518	0.0	0.324400473556	0.677264684818
argG	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
aroA1	20.8351648352	24.8417224189	0.0	-0.716234386984	2.07704384143
aroB	19.021978022	14.7792525783	0.0	1.25633824634	2.00480036975
aroF_1	24.2857142857	17.609322221	0.0	1.66882622847	2.03255157444
aroH	7.61538461538	6.60349583287	0.0	0.642890940048	1.82335431391
aroK	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
betI	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
birA	13.7142857143	16.3515134909	0.0	-0.708263341107	2.02126581318
bmrU	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
carB_1	0.362637362637	0.314452182518	0.0	0.324400473556	0.677264684818
cccA_1	9.75824175824	11.6347307532	0.0	-0.69914462619	1.96058974728
cccA_2	2.42857142857	5.3456871028	17.0	-2.25100132096	-3.83664584623
cheR2	11.8681318681	11.6347307532	0.0	0.0869608805197	1.96058974728
citN_2	0.362637362637	0.314452182518	0.0	0.324400473556	0.677264684818
cmpR_3	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
cshA	8.57142857143	18.8671309511	60.0	-2.40679129814	-4.45289488709
cshB_2	10.0	22.0116527762	70.0	-2.41658401797	-4.49718640106
ctaA	0.285714285714	0.628904365035	2.0	-1.48074498028	-1.99561263324
cwlA_1	0.428571428571	0.943356547553	3.0	-1.67052613314	-2.34464946694
cysL_1	0.362637362637	0.314452182518	0.0	0.324400473556	0.677264684818
dapB	12.1318681319	14.4648003958	0.0	-0.705290666682	2.0011331981
ddl	5.57142857143	12.2636351182	39.0	-2.37092241305	-4.29699508036
desK_1	0.263736263736	0.314452182518	0.0	-0.341438343255	0.677264684818
dhbF	0.527472527473	0.628904365035	0.0	-0.437642849725	0.915362476519
dinB_2	0.428571428571	0.943356547553	3.0	-1.67052613314	-2.34464946694
dmlA	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
dnaG	0.362637362637	0.314452182518	0.0	0.324400473556	0.677264684818
dnaJ	0.263736263736	0.314452182518	0.0	-0.341438343255	0.677264684818
drrA_2	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
epsJ_3	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
epsK	0.142857142857	0.314452182518	1.0	-1.15524134158	-1.47652760053
